Team,Run Differential
Los Angeles Dodgers,334
New York Yankees,240
Houston Astros,219
Atlanta Braves,180
New York Mets,166
St. Louis Cardinals,135
Toronto Blue Jays,96
Seattle Mariners,67
Cleveland Guardians,64
Philadelphia Phillies,62
Tampa Bay Rays,52
San Diego Padres,45
Milwaukee Brewers,37
San Francisco Giants,19
Minnesota Twins,12
Baltimore Orioles,-14
Boston Red Sox,-52
Arizona Diamondbacks,-38
Chicago Cubs,-74
Los Angeles Angels,-45
Miami Marlins,-90
Texas Rangers,-36
Colorado Rockies,-175
Detroit Tigers,-156
Kansas City Royals,-170
Cincinnati Reds,-167
Pittsburgh Pirates,-226
Oakland Athletics,-202
Washington Nationals,-252